name,latitude,longitude
John F. Kennedy Business Centre,45.56014748,-73.60474748
Collège Laflèche,46.364501,-72.675316
"Collège Ellis, campus de Trois-Rivières",46.36319,-72.50922
Séminaire de Sherbrooke,45.403012,-71.894517
Séminaire de Sherbrooke,45.40004,-71.89812
CDE Collège,45.401926,-71.890978
CDE Collège (secteur anglophone),45.401926,-71.890978
Collège Ellis,45.882114,-72.49141
Institut d'enregistrement du Canada,45.515782,-73.556427
Académie de l'Entrepreneurship,45.486093,-73.438416
Académie de l'Entrepreneurship,45.520519,-73.566455
Institut supérieur d'informatique ISI,45.525584,-73.551278
Institut supérieur d'informatique ISI (secteur anglophone),45.525584,-73.551278
"Collège CDI Administration . Technologie . Santé, enseignement en anglais",45.580726,-73.704946
Collège Mérici,46.795333,-71.232673
Orizon Aviation,46.791092,-71.378336
Collège Bart (1975),46.812506,-71.219135
Collège Bart (1975) / Collège Radio Télévision de Québec,46.812506,-71.219135
L'École de danse de Québec,46.813279,-71.232131
L'École de danse de Québec,46.814618,-71.226633
Collège O'Sullivan de Québec inc.,46.81162,-71.217105
Collège des Technologies de l'Information de Montréal,45.503141,-73.569217
Collège Inter-Dec (Laval),45.557666,-73.743126
Air Richelieu,45.514085,-73.408295
Air Richelieu (secteur anglophone),45.519675,-73.412887
Air Richelieu,45.513391,-73.43333
Air Richelieu (secteur anglophone),45.513391,-73.43333
Isart Digital Montréal inc.,45.495757,-73.576322
"Rubika, école supérieure de création numérique appliquée à l'animation, au design et au jeu vidéo inc.",45.527525,-73.596369
"Collège de gestion, technologie et santé Matrix inc.",45.503141,-73.569217
"Collège de gestion, technologie et santé Matrix inc (secteur anglophone)",45.493727,-73.58365
"Collège de gestion, technologie et santé Matrix inc.",45.520515,-73.566457
"Collège de gestion, technologie et santé Matrix inc. (secteur anglophone)",45.520513,-73.566457
"Musitechnic Formation, enseignement en anglais",45.507753,-73.560962
Syn Studio,45.50495,-73.56767
"Syn Studio, enseignement en anglais",45.50495,-73.56767
Lachute Aviation,45.638745,-74.363093
Cargair Ltée,45.516116,-73.404836
Cargair ltée (secteur anglophone),45.516116,-73.404836
Hélicraft,45.531661,-73.410916
Collège Avalon,46.827158,-71.282691
Collège Avalon (secteur anglophone),46.827159,-71.282692
Collège Avalon,45.497561,-73.653039
Collège Avalon (secteur anglophone),45.497561,-73.653039
École des entrepreneurs du Québec,45.503993,-73.566016
Collège de pilotage Saint-Hubert,45.51369,-73.409908
Collège Eid Air Aviation,45.295968,-72.732404
Collège Eid Air Aviation (secteur anglophone),45.295968,-72.732404
Collège Select Aviation / Select Aviation College,45.851966,-72.390731
Collège Select Aviation / Select Aviation College (secteur anglophone),45.851966,-72.390731
Passport Hélico,45.721726,-73.595881
École du Show-Business,45.505161,-73.561382
Collège Universel - Campus Gatineau,45.438592,-75.732521
Collège Universel - Campus Gatineau (secteur anglophone),45.438592,-75.732521
Campus Notre-Dame-de-Foy/Collège BCM (rue Vézina),45.494133,-73.646236
Campus Notre-Dame-de-Foy/Collège BCM (boul. Décarie),45.491484,-73.650338
Capitale Hélicoptère,46.800236,-71.372998
Collège MultiHexa Saguenay/Lac Saint-Jean,48.421084,-71.040513
